"climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"gfdl-esm4 ssp126",1,0.946254816019944,0.395971114924226,30
"gfdl-esm4 ssp585",1,1,0.376414720345868,30
"ipsl-cm6a-lr ssp126",0.999177923952616,0.310281438206884,0.00751682849028446,30
"ipsl-cm6a-lr ssp585",1,0.810167324562817,0.020201616,30
"gfdl-esm4 ssp126",1,0.93918220629219,0.394470101373725,20
"gfdl-esm4 ssp585",1,1,0.373885470597352,20
"ipsl-cm6a-lr ssp126",0.993892402629547,0.191845011639999,0.0024788429999999,20
"ipsl-cm6a-lr ssp585",1,0.779333028432657,0.020201616,20
"gfdl-esm4 ssp126",0.966429203577331,0.387033163957737,0.032321212,10
"gfdl-esm4 ssp585",0.992260839119813,0.682504887146348,0.107743108572869,10
"ipsl-cm6a-lr ssp126",0.965230551752546,0.166784861794491,0.0024788429999999,10
"ipsl-cm6a-lr ssp585",1,0.0863946716154873,0,10
