"climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"gfdl-esm4 ssp126","shock_0.25",1,0.907649063614023,0.139221171544318,30
"gfdl-esm4 ssp585","shock_0.25",1,1,0.282257071604125,30
"ipsl-cm6a-lr ssp126","shock_0.25",0.999071546745642,0.320926373140408,0.0239671346832,30
"ipsl-cm6a-lr ssp585","shock_0.25",1,0.702494800322599,0,30
"gfdl-esm4 ssp126","shock_0.5",1,0.902310731085073,0.194241738392908,30
"gfdl-esm4 ssp585","shock_0.5",1,1,0.418350196239835,30
"ipsl-cm6a-lr ssp126","shock_0.5",0.999005388432851,0.300723129814082,0.00833893635404603,30
"ipsl-cm6a-lr ssp585","shock_0.5",1,0.765469062128432,0.0202016160000001,30
"gfdl-esm4 ssp126","shock_0.75",1,0.946254816019944,0.395971114924226,30
"gfdl-esm4 ssp585","shock_0.75",1,1,0.376414720345868,30
"ipsl-cm6a-lr ssp126","shock_0.75",0.999177923952616,0.310281438206884,0.00751682849028446,30
"ipsl-cm6a-lr ssp585","shock_0.75",1,0.810167324562817,0.020201616,30
