"climates","spans","at_least_half_shocks","at_least_half_bis_shocks","time_window"
"gfdl-esm4 ssp126","shock_0.25",0.139221171544318,0.139221171544318,30
"gfdl-esm4 ssp585","shock_0.25",0.282257071604125,0.282257071604125,30
"ipsl-cm6a-lr ssp126","shock_0.25",0.0239671346832,0.0239671346832,30
"ipsl-cm6a-lr ssp585","shock_0.25",0,0,30
"gfdl-esm4 ssp126","shock_0.5",0.194241738392908,0.194241738392908,30
"gfdl-esm4 ssp585","shock_0.5",0.418350196239835,0.418350196239835,30
"ipsl-cm6a-lr ssp126","shock_0.5",0.00833893635404603,0.00833893635404603,30
"ipsl-cm6a-lr ssp585","shock_0.5",0.0202016160000001,0.0202016160000001,30
"gfdl-esm4 ssp126","shock_0.75",0.395971114924226,0.395971114924226,30
"gfdl-esm4 ssp585","shock_0.75",0.376414720345868,0.376414720345868,30
"ipsl-cm6a-lr ssp126","shock_0.75",0.00751682849028446,0.00751682849028446,30
"ipsl-cm6a-lr ssp585","shock_0.75",0.020201616,0.020201616,30
